,,,,,
Input,Match type,Approved symbol,Approved name,HGNC ID,Location
MAP3K15,Approved symbol,MAP3K15,mitogen-activated protein kinase kinase kinase 15,HGNC:31689,Xp22.12
MAP3K3,Approved symbol,MAP3K3,mitogen-activated protein kinase kinase kinase 3,HGNC:6855,17q23.3
MAP3K9,Approved symbol,MAP3K9,mitogen-activated protein kinase kinase kinase 9,HGNC:6861,14q24.2
MAP4,Approved symbol,MAP4,microtubule associated protein 4,HGNC:6862,3p21.31
MAP4K1,Approved symbol,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,HGNC:6863,19q13.2
MAP6,Approved symbol,MAP6,microtubule associated protein 6,HGNC:6868,11q13.5
MAP6D1,Approved symbol,MAP6D1,MAP6 domain containing 1,HGNC:25753,3q27.1
MAP7,Approved symbol,MAP7,microtubule associated protein 7,HGNC:6869,6q23.3
MAP7D1,Approved symbol,MAP7D1,MAP7 domain containing 1,HGNC:25514,1p34.3
MAP7D2,Approved symbol,MAP7D2,MAP7 domain containing 2,HGNC:25899,Xp22.12
MAP9,Approved symbol,MAP9,microtubule associated protein 9,HGNC:26118,4q32.1
MAPK10,Approved symbol,MAPK10,mitogen-activated protein kinase 10,HGNC:6872,4q21.3
MAPK11,Approved symbol,MAPK11,mitogen-activated protein kinase 11,HGNC:6873,22q13.33
MAPK12,Approved symbol,MAPK12,mitogen-activated protein kinase 12,HGNC:6874,22q13.33
MAPK4,Approved symbol,MAPK4,mitogen-activated protein kinase 4,HGNC:6878,18q21.1-q21.2
MAPK7,Approved symbol,MAPK7,mitogen-activated protein kinase 7,HGNC:6880,17p11.2
MAPK8IP2,Approved symbol,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2,HGNC:6883,22q13.33
MAPK8IP3,Approved symbol,MAPK8IP3,mitogen-activated protein kinase 8 interacting protein 3,HGNC:6884,16p13.3
MAPKBP1,Approved symbol,MAPKBP1,mitogen-activated protein kinase binding protein 1,HGNC:29536,15q15.1
MAS1L,Approved symbol,MAS1L,"MAS1 proto-oncogene like, G protein-coupled receptor",HGNC:13961,6p22.1
MASP1,Approved symbol,MASP1,MBL associated serine protease 1,HGNC:6901,3q27.3
MASP2,Approved symbol,MASP2,MBL associated serine protease 2,HGNC:6902,1p36.22
MAST2,Approved symbol,MAST2,microtubule associated serine/threonine kinase 2,HGNC:19035,1p34.1
MAST3,Approved symbol,MAST3,microtubule associated serine/threonine kinase 3,HGNC:19036,19p13.11
MAST4,Approved symbol,MAST4,microtubule associated serine/threonine kinase family member 4,HGNC:19037,5q12.3
MAT1A,Approved symbol,MAT1A,methionine adenosyltransferase 1A,HGNC:6903,10q22.3
MATN1,Approved symbol,MATN1,matrilin 1,HGNC:6907,1p35.2
MAVS,Approved symbol,MAVS,mitochondrial antiviral signaling protein,HGNC:29233,20p13
MB21D2,Approved symbol,MB21D2,Mab-21 domain containing 2,HGNC:30438,3q29
MBD4,Approved symbol,MBD4,"methyl-CpG binding domain 4, DNA glycosylase",HGNC:6919,3q21.3
MBTPS2,Approved symbol,MBTPS2,"membrane bound transcription factor peptidase, site 2",HGNC:15455,Xp22.12
MC3R,Approved symbol,MC3R,melanocortin 3 receptor,HGNC:6931,20q13.2
MC5R,Approved symbol,MC5R,melanocortin 5 receptor,HGNC:6933,18p11.21
MCC,Approved symbol,MCC,MCC regulator of WNT signaling pathway,HGNC:6935,5q22.2
MCF2,Approved symbol,MCF2,MCF.2 cell line derived transforming sequence,HGNC:6940,Xq27.1
MCF2L,Approved symbol,MCF2L,MCF.2 cell line derived transforming sequence like,HGNC:14576,13q34
MCF2L2,Approved symbol,MCF2L2,MCF.2 cell line derived transforming sequence-like 2,HGNC:30319,3q27.1
MCHR1,Approved symbol,MCHR1,melanin concentrating hormone receptor 1,HGNC:4479,22q13.2
MCM10,Approved symbol,MCM10,minichromosome maintenance 10 replication initiation factor,HGNC:18043,10p13
MCM2,Approved symbol,MCM2,minichromosome maintenance complex component 2,HGNC:6944,3q21.3
MCM2,Previous symbol,MCM7,minichromosome maintenance complex component 7,HGNC:6950,7q22.1
MCM3AP,Approved symbol,MCM3AP,minichromosome maintenance complex component 3 associated protein,HGNC:6946,21q22.3
MCM4,Approved symbol,MCM4,minichromosome maintenance complex component 4,HGNC:6947,8q11.21
MCM6,Approved symbol,MCM6,minichromosome maintenance complex component 6,HGNC:6949,2q21.3
MCM7,Approved symbol,MCM7,minichromosome maintenance complex component 7,HGNC:6950,7q22.1
MCOLN3,Approved symbol,MCOLN3,mucolipin TRP cation channel 3,HGNC:13358,1p22.3
MCTP2,Approved symbol,MCTP2,multiple C2 and transmembrane domain containing 2,HGNC:25636,15q26.2
MDC1,Approved symbol,MDC1,mediator of DNA damage checkpoint 1,HGNC:21163,6p21.33
MDFIC,Approved symbol,MDFIC,MyoD family inhibitor domain containing,HGNC:28870,7q31.1-q31.2
MDGA1,Approved symbol,MDGA1,MAM domain containing glycosylphosphatidylinositol anchor 1,HGNC:19267,6p21.2
MDGA2,Approved symbol,MDGA2,MAM domain containing glycosylphosphatidylinositol anchor 2,HGNC:19835,14q21.3
MDH1B,Approved symbol,MDH1B,malate dehydrogenase 1B,HGNC:17836,2q33.3
MDH2,Approved symbol,MDH2,malate dehydrogenase 2,HGNC:6971,7q11.23
MDM1,Approved symbol,MDM1,Mdm1 nuclear protein,HGNC:29917,12q15
MDM4,Approved symbol,MDM4,MDM4 regulator of p53,HGNC:6974,1q32.1
MDN1,Approved symbol,MDN1,midasin AAA ATPase 1,HGNC:18302,6q15
MED12L,Approved symbol,MED12L,mediator complex subunit 12L,HGNC:16050,3q25.1
MED13,Approved symbol,MED13,mediator complex subunit 13,HGNC:22474,17q23.2
MED14,Approved symbol,MED14,mediator complex subunit 14,HGNC:2370,Xp11.4
MED15,Approved symbol,MED15,mediator complex subunit 15,HGNC:14248,22q11.21
MEF2C,Approved symbol,MEF2C,myocyte enhancer factor 2C,HGNC:6996,5q14.3
MEFV,Approved symbol,MEFV,"MEFV innate immuity regulator, pyrin",HGNC:6998,16p13.3
MEGF6,Approved symbol,MEGF6,multiple EGF like domains 6,HGNC:3232,1p36.32
MEGF8,Approved symbol,MEGF8,multiple EGF like domains 8,HGNC:3233,19q13.2
MEI1,Approved symbol,MEI1,meiotic double-stranded break formation protein 1,HGNC:28613,22q13.2
MEI4,Approved symbol,MEI4,meiotic double-stranded break formation protein 4,HGNC:43638,6q14.1
MEIS1,Approved symbol,MEIS1,Meis homeobox 1,HGNC:7000,2p14
MEIS3,Approved symbol,MEIS3,Meis homeobox 3,HGNC:29537,19q13.32
MEIS3,Previous symbol,MEIS3P1,Meis homeobox 3 pseudogene 1,HGNC:7002,17p12
MELK,Approved symbol,MELK,maternal embryonic leucine zipper kinase,HGNC:16870,9p13.2
MEMO1,Approved symbol,MEMO1,mediator of cell motility 1,HGNC:14014,2p22.3
METTL14,Approved symbol,METTL14,"methyltransferase 14, N6-adenosine-methyltransferase subunit",HGNC:29330,4q26
METTL15,Approved symbol,METTL15,methyltransferase like 15,HGNC:26606,11p14.1
METTL16,Approved symbol,METTL16,"methyltransferase 16, N6-methyladenosine",HGNC:28484,17p13.3
METTL17,Approved symbol,METTL17,methyltransferase like 17,HGNC:19280,14q11.2
MFF,Approved symbol,MFF,mitochondrial fission factor,HGNC:24858,2q36.3
MFI2,Previous symbol,MELTF,melanotransferrin,HGNC:7037,3q29
MFN1,Approved symbol,MFN1,mitofusin 1,HGNC:18262,3q26.33
MFSD11,Approved symbol,MFSD11,major facilitator superfamily domain containing 11,HGNC:25458,17q25.1
MFSD6,Approved symbol,MFSD6,major facilitator superfamily domain containing 6,HGNC:24711,2q32.2
MFSD6L,Approved symbol,MFSD6L,major facilitator superfamily domain containing 6 like,HGNC:26656,17p13.1
MFSD9,Approved symbol,MFSD9,major facilitator superfamily domain containing 9,HGNC:28158,2q12.1
MGAT1,Approved symbol,MGAT1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",HGNC:7044,5q35.3
MGAT1,Alias symbol,MOGAT1,monoacylglycerol O-acyltransferase 1,HGNC:18210,2q36.1
MGAT4B,Approved symbol,MGAT4B,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",HGNC:7048,5q35.3
MGMT,Approved symbol,MGMT,O-6-methylguanine-DNA methyltransferase,HGNC:7059,10q26.3
MGRN1,Approved symbol,MGRN1,mahogunin ring finger 1,HGNC:20254,16p13.3
MICAL1,Approved symbol,MICAL1,"microtubule associated monooxygenase, calponin and LIM domain containing 1",HGNC:20619,6q21
MICAL3,Approved symbol,MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3",HGNC:24694,22q11.21
MICALL2,Approved symbol,MICALL2,MICAL like 2,HGNC:29672,7p22.3
MICU1,Approved symbol,MICU1,mitochondrial calcium uptake 1,HGNC:1530,10q22.1
MICU2,Approved symbol,MICU2,mitochondrial calcium uptake 2,HGNC:31830,13q12.11
MID1,Approved symbol,MID1,midline 1,HGNC:7095,Xp22
MIER1,Approved symbol,MIER1,MIER1 transcriptional regulator,HGNC:29657,1p31.3
MIIP,Approved symbol,MIIP,migration and invasion inhibitory protein,HGNC:25715,1p36.22
MIOX,Approved symbol,MIOX,myo-inositol oxygenase,HGNC:14522,22q13.33
MIPEP,Approved symbol,MIPEP,mitochondrial intermediate peptidase,HGNC:7104,13q12.12
MIPOL1,Approved symbol,MIPOL1,mirror-image polydactyly 1,HGNC:21460,14q13.3-q21.1
MITF,Approved symbol,MITF,melanocyte inducing transcription factor,HGNC:7105,3p13
MKL1,Previous symbol,MRTFA,myocardin related transcription factor A,HGNC:14334,22q13.1-q13.2
MKRN3,Approved symbol,MKRN3,makorin ring finger protein 3,HGNC:7114,15q11.2
MKX,Approved symbol,MKX,mohawk homeobox,HGNC:23729,10p12.1
MLK4,Alias symbol,MAP3K21,mitogen-activated protein kinase kinase kinase 21,HGNC:29798,1q42.2
MLLT1,Approved symbol,MLLT1,MLLT1 super elongation complex subunit,HGNC:7134,19p13.3
MLX,Approved symbol,MLX,MAX dimerization protein MLX,HGNC:11645,17q21.2
MLXIPL,Approved symbol,MLXIPL,MLX interacting protein like,HGNC:12744,7q11.23
MMAB,Approved symbol,MMAB,metabolism of cobalamin associated B,HGNC:19331,12q24.11
MMACHC,Approved symbol,MMACHC,metabolism of cobalamin associated C,HGNC:24525,1p34.1
MMP1,Approved symbol,MMP1,matrix metallopeptidase 1,HGNC:7155,11q22.2
MMP10,Approved symbol,MMP10,matrix metallopeptidase 10,HGNC:7156,11q22.2
MMP13,Approved symbol,MMP13,matrix metallopeptidase 13,HGNC:7159,11q22.2
MMP15,Approved symbol,MMP15,matrix metallopeptidase 15,HGNC:7161,16q21
MMP16,Approved symbol,MMP16,matrix metallopeptidase 16,HGNC:7162,8q21.3
MMP17,Approved symbol,MMP17,matrix metallopeptidase 17,HGNC:7163,12q24.33
MMP25,Approved symbol,MMP25,matrix metallopeptidase 25,HGNC:14246,16p13.3
MMP3,Approved symbol,MMP3,matrix metallopeptidase 3,HGNC:7173,11q22.2
MMS22L,Approved symbol,MMS22L,"MMS22 like, DNA repair protein",HGNC:21475,6q16.1
MOCOS,Approved symbol,MOCOS,molybdenum cofactor sulfurase,HGNC:18234,18q12.2
MOCS1,Approved symbol,MOCS1,molybdenum cofactor synthesis 1,HGNC:7190,6p21.2
MON2,Approved symbol,MON2,"MON2 homolog, regulator of endosome-to-Golgi trafficking",HGNC:29177,12q14.1
MORC1,Approved symbol,MORC1,MORC family CW-type zinc finger 1,HGNC:7198,3q13.13
MORN1,Approved symbol,MORN1,MORN repeat containing 1,HGNC:25852,1p36.32
MORN5,Approved symbol,MORN5,MORN repeat containing 5,HGNC:17841,9q33.2
MOS,Approved symbol,MOS,"MOS proto-oncogene, serine/threonine kinase",HGNC:7199,8q12.1
MOS,Alias symbol,MOCOS,molybdenum cofactor sulfurase,HGNC:18234,18q12.2
MOSPD2,Approved symbol,MOSPD2,motile sperm domain containing 2,HGNC:28381,Xp22.2
MOV10L1,Approved symbol,MOV10L1,Mov10 like RISC complex RNA helicase 1,HGNC:7201,22q13.33
MOXD1,Approved symbol,MOXD1,monooxygenase DBH like 1,HGNC:21063,6q23.2
MPDZ,Approved symbol,MPDZ,multiple PDZ domain crumbs cell polarity complex component,HGNC:7208,9p23
MPDZ,Alias symbol,LNX1,ligand of numb-protein X 1,HGNC:6657,4q12
MPHOSPH9,Approved symbol,MPHOSPH9,M-phase phosphoprotein 9,HGNC:7215,12q24.31
MPND,Approved symbol,MPND,MPN domain containing,HGNC:25934,19p13.3
MPO,Approved symbol,MPO,myeloperoxidase,HGNC:7218,17q22
MPP3,Approved symbol,MPP3,MAGUK p55 scaffold protein 3,HGNC:7221,17q21.31
MPP4,Approved symbol,MPP4,MAGUK p55 scaffold protein 4,HGNC:13680,2q33.1
MPP4,Alias symbol,ILF3,interleukin enhancer binding factor 3,HGNC:6038,19p13.2
MPPED2,Approved symbol,MPPED2,metallophosphoesterase domain containing 2,HGNC:1180,11p14.1
MPV17,Approved symbol,MPV17,mitochondrial inner membrane protein MPV17,HGNC:7224,2p23.3
MRC2,Approved symbol,MRC2,mannose receptor C type 2,HGNC:16875,17q23.2
MRGPRG,Approved symbol,MRGPRG,MAS related GPR family member G,HGNC:24829,11p15.4
MRGPRX2,Approved symbol,MRGPRX2,MAS related GPR family member X2,HGNC:17983,11p15.1
MRGPRX3,Approved symbol,MRGPRX3,MAS related GPR family member X3,HGNC:17980,11p15.1
MROH2A,Approved symbol,MROH2A,maestro heat like repeat family member 2A,HGNC:27936,2q37.1
MROH5,Approved symbol,MROH5,maestro heat like repeat family member 5 (gene/pseudogene),HGNC:42976,8q24.3
MROH6,Approved symbol,MROH6,maestro heat like repeat family member 6,HGNC:27814,8q24.3
MROH7-TTC4,Approved symbol,MROH7-TTC4,MROH7-TTC4 readthrough (NMD candidate),HGNC:49180,1p32.3
MROH9,Approved symbol,MROH9,maestro heat like repeat family member 9,HGNC:26287,1q24.3
MRPL11,Approved symbol,MRPL11,mitochondrial ribosomal protein L11,HGNC:14042,11q13.2
MRPL46,Approved symbol,MRPL46,mitochondrial ribosomal protein L46,HGNC:1192,15q25.3
MRPL49,Approved symbol,MRPL49,mitochondrial ribosomal protein L49,HGNC:1176,11q13.1
MRPS23,Approved symbol,MRPS23,mitochondrial ribosomal protein S23,HGNC:14509,17q22
MRRF,Approved symbol,MRRF,mitochondrial ribosome recycling factor,HGNC:7234,9q33.2
MS4A14,Approved symbol,MS4A14,membrane spanning 4-domains A14,HGNC:30706,11q12.2
MS4A7,Approved symbol,MS4A7,membrane spanning 4-domains A7,HGNC:13378,11q12.2
MS4A7,Alias symbol,MS4A4A,membrane spanning 4-domains A4A,HGNC:13371,11q12.2
MSH4,Approved symbol,MSH4,mutS homolog 4,HGNC:7327,1p31.1
MSI1,Approved symbol,MSI1,musashi RNA binding protein 1,HGNC:7330,12q24.31
MSL1,Approved symbol,MSL1,MSL complex subunit 1,HGNC:27905,17q21.1
MSL1,Alias symbol,SNRPB2,small nuclear ribonucleoprotein polypeptide B2,HGNC:11155,20p12.1
MSN,Approved symbol,MSN,moesin,HGNC:7373,Xq12
MSRB3,Approved symbol,MSRB3,methionine sulfoxide reductase B3,HGNC:27375,12q14.3
MTA3,Approved symbol,MTA3,metastasis associated 1 family member 3,HGNC:23784,2p21
MTBP,Approved symbol,MTBP,MDM2 binding protein,HGNC:7417,8q24.12
MTCH2,Approved symbol,MTCH2,mitochondrial carrier 2,HGNC:17587,11p11.2
MTF1,Approved symbol,MTF1,metal regulatory transcription factor 1,HGNC:7428,1p34.3
MTF1,Alias symbol,MELTF,melanotransferrin,HGNC:7037,3q29
MTF1,Alias symbol,MYT1,myelin transcription factor 1,HGNC:7622,20q13.33
MTF2,Approved symbol,MTF2,metal response element binding transcription factor 2,HGNC:29535,1p22.1
MTFR1,Approved symbol,MTFR1,mitochondrial fission regulator 1,HGNC:29510,8q13.1
MTHFSD,Approved symbol,MTHFSD,methenyltetrahydrofolate synthetase domain containing,HGNC:25778,16q24.1
MTM1,Approved symbol,MTM1,myotubularin 1,HGNC:7448,Xq28
MTMR1,Approved symbol,MTMR1,myotubularin related protein 1,HGNC:7449,Xq28
MTMR12,Approved symbol,MTMR12,myotubularin related protein 12,HGNC:18191,5p13.3
MTMR4,Approved symbol,MTMR4,myotubularin related protein 4,HGNC:7452,17q22
MTMR9,Approved symbol,MTMR9,myotubularin related protein 9,HGNC:14596,8p23.1
MTPAP,Approved symbol,MTPAP,mitochondrial poly(A) polymerase,HGNC:25532,10p11.23
MTR,Approved symbol,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,HGNC:7468,1q43
MTRF1L,Approved symbol,MTRF1L,mitochondrial translation release factor 1 like,HGNC:21051,6q25.2
MTRR,Approved symbol,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,HGNC:7473,5p15.31
MTUS2,Approved symbol,MTUS2,microtubule associated scaffold protein 2,HGNC:20595,13q12.3
MTX3,Approved symbol,MTX3,metaxin 3,HGNC:24812,5q14.1
MUC12,Approved symbol,MUC12,"mucin 12, cell surface associated",HGNC:7510,7q22.1
MUC16,Approved symbol,MUC16,"mucin 16, cell surface associated",HGNC:15582,19p13.2
MUC17,Approved symbol,MUC17,"mucin 17, cell surface associated",HGNC:16800,7q22.1
MUC19,Approved symbol,MUC19,"mucin 19, oligomeric",HGNC:14362,12q12
MUC20,Approved symbol,MUC20,"mucin 20, cell surface associated",HGNC:23282,3q29
MUC21,Approved symbol,MUC21,"mucin 21, cell surface associated",HGNC:21661,6p21.33
MUC22,Approved symbol,MUC22,mucin 22,HGNC:39755,6p21.33
MUC5AC,Approved symbol,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,11p15.5
MUC5B,Approved symbol,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,11p15.5
MUC6,Approved symbol,MUC6,"mucin 6, oligomeric mucus/gel-forming",HGNC:7517,11p15.5
MUM1L1,Previous symbol,PWWP3B,PWWP domain containing 3B,HGNC:26583,Xq22.3
MUTYH,Approved symbol,MUTYH,mutY DNA glycosylase,HGNC:7527,1p34.1
MVD,Approved symbol,MVD,mevalonate diphosphate decarboxylase,HGNC:7529,16q24.2
MX1,Approved symbol,MX1,MX dynamin like GTPase 1,HGNC:7532,21q22.3
MXD4,Approved symbol,MXD4,MAX dimerization protein 4,HGNC:13906,4p16.3
MXRA5,Approved symbol,MXRA5,matrix remodeling associated 5,HGNC:7539,Xp22.33
MYBBP1A,Approved symbol,MYBBP1A,MYB binding protein 1a,HGNC:7546,17p13.2
MYBPC2,Approved symbol,MYBPC2,myosin binding protein C2,HGNC:7550,19q13.33
MYBPC3,Approved symbol,MYBPC3,myosin binding protein C3,HGNC:7551,11p11.2
MYCBP2,Approved symbol,MYCBP2,MYC binding protein 2,HGNC:23386,13q22.3
MYF5,Approved symbol,MYF5,myogenic factor 5,HGNC:7565,12q21.31
MYF6,Approved symbol,MYF6,myogenic factor 6,HGNC:7566,12q21.31
MYH1,Approved symbol,MYH1,myosin heavy chain 1,HGNC:7567,17p13.1
MYH10,Approved symbol,MYH10,myosin heavy chain 10,HGNC:7568,17p13.1
MYH13,Approved symbol,MYH13,myosin heavy chain 13,HGNC:7571,17p13.1
MYH14,Approved symbol,MYH14,myosin heavy chain 14,HGNC:23212,19q13.33
MYH14,Alias symbol,MYH7B,myosin heavy chain 7B,HGNC:15906,20q11.22
MYH2,Approved symbol,MYH2,myosin heavy chain 2,HGNC:7572,17p13.1
MYH3,Approved symbol,MYH3,myosin heavy chain 3,HGNC:7573,17p13.1
MYH4,Approved symbol,MYH4,myosin heavy chain 4,HGNC:7574,17p13.1
MYH6,Approved symbol,MYH6,myosin heavy chain 6,HGNC:7576,14q11.2
MYH7B,Approved symbol,MYH7B,myosin heavy chain 7B,HGNC:15906,20q11.22
MYH8,Approved symbol,MYH8,myosin heavy chain 8,HGNC:7578,17p13.1
MYL2,Approved symbol,MYL2,myosin light chain 2,HGNC:7583,12q24.11
MYLK2,Approved symbol,MYLK2,myosin light chain kinase 2,HGNC:16243,20q11.21
MYO10,Approved symbol,MYO10,myosin X,HGNC:7593,5p15.1
MYO16,Approved symbol,MYO16,myosin XVI,HGNC:29822,13q33.3
MYO18A,Approved symbol,MYO18A,myosin XVIIIA,HGNC:31104,17q11.2
MYO18B,Approved symbol,MYO18B,myosin XVIIIB,HGNC:18150,22q12.1
MYO19,Approved symbol,MYO19,myosin XIX,HGNC:26234,17q12
MYO1F,Approved symbol,MYO1F,myosin IF,HGNC:7600,19p13.2
MYO1G,Approved symbol,MYO1G,myosin IG,HGNC:13880,7p13
MYO3A,Approved symbol,MYO3A,myosin IIIA,HGNC:7601,10p12.1
MYO3B,Approved symbol,MYO3B,myosin IIIB,HGNC:15576,2q31.1
MYO5A,Approved symbol,MYO5A,myosin VA,HGNC:7602,15q21.2
MYO6,Approved symbol,MYO6,myosin VI,HGNC:7605,6q14.1
MYO9B,Approved symbol,MYO9B,myosin IXB,HGNC:7609,19p13.11
MYOC,Approved symbol,MYOC,myocilin,HGNC:7610,1q24.3
MYOCD,Approved symbol,MYOCD,myocardin,HGNC:16067,17p12
MYOD1,Approved symbol,MYOD1,myogenic differentiation 1,HGNC:7611,11p15.1
MYOF,Approved symbol,MYOF,myoferlin,HGNC:3656,10q23.33
MYOM1,Approved symbol,MYOM1,myomesin 1,HGNC:7613,18p11.31
MYOM2,Approved symbol,MYOM2,myomesin 2,HGNC:7614,8p23.3
MYRFL,Approved symbol,MYRFL,myelin regulatory factor like,HGNC:26316,12q15
MYSM1,Approved symbol,MYSM1,"Myb like, SWIRM and MPN domains 1",HGNC:29401,1p32.1
MYT1L,Approved symbol,MYT1L,myelin transcription factor 1 like,HGNC:7623,2p25.3
MYZAP,Approved symbol,MYZAP,myocardial zonula adherens protein,HGNC:43444,15q21.3
MZB1,Approved symbol,MZB1,marginal zone B and B1 cell specific protein,HGNC:30125,5q31.2
MZT2B,Approved symbol,MZT2B,mitotic spindle organizing protein 2B,HGNC:25886,2q21.1
N6AMT2,Previous symbol,EEF1AKMT1,EEF1A lysine methyltransferase 1,HGNC:27351,13q12.11
NAA10,Approved symbol,NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit",HGNC:18704,Xq28
NAA15,Approved symbol,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",HGNC:30782,4q31.1
NAA25,Approved symbol,NAA25,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",HGNC:25783,12q24.13
NAA60,Approved symbol,NAA60,"N-alpha-acetyltransferase 60, NatF catalytic subunit",HGNC:25875,16p13.3
NAALADL2,Approved symbol,NAALADL2,N-acetylated alpha-linked acidic dipeptidase like 2,HGNC:23219,3q26.31
NACAD,Approved symbol,NACAD,NAC alpha domain containing,HGNC:22196,7p13
NALCN,Approved symbol,NALCN,"sodium leak channel, non-selective",HGNC:19082,13q32.3-q33.1
NAMPT,Approved symbol,NAMPT,nicotinamide phosphoribosyltransferase,HGNC:30092,7q22.3
NANOS1,Approved symbol,NANOS1,nanos C2HC-type zinc finger 1,HGNC:23044,10q26.11
NAP1L2,Approved symbol,NAP1L2,nucleosome assembly protein 1 like 2,HGNC:7638,Xq13.2
NAP1L3,Approved symbol,NAP1L3,nucleosome assembly protein 1 like 3,HGNC:7639,Xq21.32
NAPEPLD,Approved symbol,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,HGNC:21683,7q22.1
NARFL,Previous symbol,CIAO3,cytosolic iron-sulfur assembly component 3,HGNC:14179,16p13.3
NAT1,Approved symbol,NAT1,N-acetyltransferase 1,HGNC:7645,8p22
NAT1,Previous symbol,SLC6A2,solute carrier family 6 member 2,HGNC:11048,16q12.2
NAT1,Alias symbol,EIF4G2,eukaryotic translation initiation factor 4 gamma 2,HGNC:3297,11p15.4
NAV1,Approved symbol,NAV1,neuron navigator 1,HGNC:15989,1q32.1
NAV2,Approved symbol,NAV2,neuron navigator 2,HGNC:15997,11p15.1
NAV3,Approved symbol,NAV3,neuron navigator 3,HGNC:15998,12q21.2
NBEA,Approved symbol,NBEA,neurobeachin,HGNC:7648,13q13.3
NBN,Approved symbol,NBN,nibrin,HGNC:7652,8q21.3
NBN,Alias symbol,ARTN,artemin,HGNC:727,1p34.1
NBPF3,Approved symbol,NBPF3,NBPF member 3,HGNC:25076,1p36.12
NBR1,Approved symbol,NBR1,NBR1 autophagy cargo receptor,HGNC:6746,17q21.31
NCALD,Approved symbol,NCALD,neurocalcin delta,HGNC:7655,8q22.3
NCAM2,Approved symbol,NCAM2,neural cell adhesion molecule 2,HGNC:7657,21q21.1
NCAPD3,Approved symbol,NCAPD3,non-SMC condensin II complex subunit D3,HGNC:28952,11q25
NCAPG2,Approved symbol,NCAPG2,non-SMC condensin II complex subunit G2,HGNC:21904,7q36.3
NCAPH2,Approved symbol,NCAPH2,non-SMC condensin II complex subunit H2,HGNC:25071,22q13.33
NCF1,Approved symbol,NCF1,neutrophil cytosolic factor 1,HGNC:7660,7q11.23
NCKAP5,Approved symbol,NCKAP5,NCK associated protein 5,HGNC:29847,2q21.2
NCKAP5L,Approved symbol,NCKAP5L,NCK associated protein 5 like,HGNC:29321,12q13.12
NCOA2,Approved symbol,NCOA2,nuclear receptor coactivator 2,HGNC:7669,8q13.3
NCOA3,Approved symbol,NCOA3,nuclear receptor coactivator 3,HGNC:7670,20q13.12
NCOA6,Approved symbol,NCOA6,nuclear receptor coactivator 6,HGNC:15936,20q11.22
NCR1,Approved symbol,NCR1,natural cytotoxicity triggering receptor 1,HGNC:6731,19q13.42
NCR2,Approved symbol,NCR2,natural cytotoxicity triggering receptor 2,HGNC:6732,6p21.1
NDFIP2,Approved symbol,NDFIP2,Nedd4 family interacting protein 2,HGNC:18537,13q31.1
NDN,Approved symbol,NDN,"necdin, MAGE family member",HGNC:7675,15q11.2
NDRG4,Approved symbol,NDRG4,NDRG family member 4,HGNC:14466,16q21
NDST3,Approved symbol,NDST3,N-deacetylase and N-sulfotransferase 3,HGNC:7682,4q26
NDUFAF3,Approved symbol,NDUFAF3,NADH:ubiquinone oxidoreductase complex assembly factor 3,HGNC:29918,3p21.31
NDUFAF6,Approved symbol,NDUFAF6,NADH:ubiquinone oxidoreductase complex assembly factor 6,HGNC:28625,8q22.1
NDUFAF7,Approved symbol,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,HGNC:28816,2p22.2
NDUFS7,Approved symbol,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,HGNC:7714,19p13.3
NDUFS8,Approved symbol,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,HGNC:7715,11q13.2
NDUFV1,Approved symbol,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,HGNC:7716,11q13.2
NEB,Approved symbol,NEB,nebulin,HGNC:7720,2q23.3
NECAB1,Approved symbol,NECAB1,N-terminal EF-hand calcium binding protein 1,HGNC:20983,8q21.3
NEFH,Approved symbol,NEFH,neurofilament heavy chain,HGNC:7737,22q12.2
NEGR1,Approved symbol,NEGR1,neuronal growth regulator 1,HGNC:17302,1p31.1
NEK10,Approved symbol,NEK10,NIMA related kinase 10,HGNC:18592,3p24.1
NEK11,Approved symbol,NEK11,NIMA related kinase 11,HGNC:18593,3q22.1
NEK6,Approved symbol,NEK6,NIMA related kinase 6,HGNC:7749,9q33.3
NEK8,Approved symbol,NEK8,NIMA related kinase 8,HGNC:13387,17q11.2
NEK8,Alias symbol,NEK9,NIMA related kinase 9,HGNC:18591,14q24.3
NELL1,Approved symbol,NELL1,neural EGFL like 1,HGNC:7750,11p15.1
